Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,12:07:59.40,-5.60898,5.82859,0.24684,0.0,0.0,-0.0,0
1,12:07:59.46,-5.35052,5.64922,0.2431,0.0,0.0,-0.0,0
2,12:07:59.53,-3.98782,4.15584,0.15209,0.0,0.0,-0.0,0
3,12:07:59.59,-2.96177,3.30942,0.17748,0.0,0.0,-0.0,0
4,12:07:59.66,-2.32862,2.46521,0.20045,0.0,0.0,-0.0,0
5,12:07:59.72,-2.14029,2.294,0.23676,0.03333,0.0,-0.0,0
6,12:07:59.78,-1.36131,1.83958,0.27972,0.03333,0.0,-0.0,0
7,12:07:59.85,-1.08736,1.28758,0.18312,0.0,0.0,-0.0,0
8,12:07:59.91,-0.677,1.14746,0.08357,0.0,0.0,-0.0,0
9,12:07:59.97,-0.686,0.93871,0.19504,0.03333,0.0,-0.0,0
10,12:08:00.04,-0.824,0.82738,0.2553,0.0,0.0,-0.0,0
11,12:08:00.10,-0.58379,0.60951,0.20173,0.0,0.0,-0.0,0
12,12:08:00.16,-0.37364,0.44116,0.09729,0.0,0.0,-0.0,0
13,12:08:00.23,-0.41264,0.41216,0.12187,0.03333,0.0,-0.0,0
14,12:08:00.29,-0.30464,0.19539,0.14073,0.0,0.0,-0.0,0
15,12:08:00.36,-0.18258,0.26439,0.27028,0.03333,0.0,-0.0,0
16,12:08:00.42,-0.25158,0.33239,0.28041,0.0,0.0,-0.0,0
17,12:08:00.48,-0.19258,0.24439,0.22033,0.0,0.0,-0.0,0
18,12:08:00.55,-0.09069,0.15523,0.14076,0.03333,0.0,-0.0,0
19,12:08:00.61,0.00731,0.15523,0.30904,0.0,0.0,-0.0,0
20,12:08:00.68,-0.09069,0.18523,0.17478,0.0,0.0,-0.0,0
21,12:08:00.74,0.00731,0.05723,0.13097,0.0,0.0,-0.0,0
22,12:08:00.80,-0.06069,0.15523,0.11041,0.0,0.0,-0.0,0
23,12:08:00.87,-0.03169,0.11623,0.17389,0.03333,0.0,-0.0,0
24,12:08:00.93,-0.05069,0.14623,0.20916,0.0,0.0,-0.0,0
25,12:08:00.99,0.06631,0.09723,0.18233,0.0,0.0,-0.0,2
26,12:08:01.06,-0.02169,-0.00125,0.13813,0.03333,0.0,-0.0,2
27,12:08:01.12,0.00731,-0.02025,0.22412,0.0,0.0,-0.0,2
28,12:08:01.18,-0.01169,0.01875,0.21527,0.0,0.0,-0.0,2
29,12:08:01.24,-0.08069,0.05775,0.20171,0.0,0.0,-0.03333,2
30,12:08:01.31,-0.00169,0.18575,0.08029,0.1,-0.03333,-0.0,2
31,12:08:01.37,0.03731,0.45023,-0.14188,0.26667,-0.1,0.06667,2
32,12:08:01.44,-0.155,0.25439,-0.62923,0.53333,-0.1,0.16667,2
33,12:08:01.49,-0.165,0.23516,-0.77493,0.66667,-0.13333,0.13333,2
34,12:08:01.54,0.365,-0.58129,-0.97902,1.43333,0.16667,0.13333,2
