,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,12:47:27.22,-7.9868,-6.52642,0.28367,0.03333,0.0,-0.0
1,12:47:27.26,-7.9868,-6.52642,0.28367,0.03333,0.0,-0.0
2,12:47:27.28,-8.09339,-6.70965,0.28997,0.03333,0.0,-0.0
3,12:47:27.32,-8.09339,-6.70965,0.28997,0.03333,0.0,-0.0
4,12:47:27.34,-9.26388,-6.97198,0.30954,0.03333,0.0,-0.0
5,12:47:27.37,-9.60854,-7.03098,0.29301,0.0,0.0,-0.0
6,12:47:27.40,-9.8616,-7.06998,0.2922,0.0,0.0,-0.0
7,12:47:27.43,-10.2171,-6.90398,0.26064,0.03333,0.0,-0.0
8,12:47:27.47,-10.1291,-6.86152,0.34541,0.03333,-0.03333,-0.03333
9,12:47:27.50,-10.00853,-6.86152,0.41823,0.03333,0.0,-0.0
10,12:47:27.53,-9.74398,-6.52642,0.36593,0.0,0.0,-0.0
11,12:47:27.56,-9.51142,-6.35189,0.35351,0.0,0.0,-0.0
12,12:47:27.59,-8.77181,-5.89089,0.29111,0.0,0.0,-0.0
13,12:47:27.62,-8.20139,-5.37082,0.17497,0.0,0.03333,-0.0
14,12:47:27.65,-8.1819,-5.05146,0.21995,0.0,0.1,-0.0
15,12:47:27.69,-8.44725,-4.63317,0.7532,-0.03333,0.36667,-0.03333
16,12:47:27.72,-8.36925,-4.98617,1.10335,-0.13333,0.4,-0.1
17,12:47:27.75,-7.50772,-5.54517,1.83394,-0.1,0.4,-0.13333
18,12:47:27.78,-4.86794,-5.12801,4.6434,-0.06667,2.16667,0.36667
19,12:47:27.81,-3.8674,-5.175,3.97699,-0.83333,2.83333,0.8
20,12:47:27.84,-2.63472,-5.81017,3.89529,-0.86667,3.0,1.03333
21,12:47:27.87,-2.5439,-5.71382,3.87316,-0.63333,3.7,1.4
22,12:47:27.90,-2.96236,-5.85189,2.52944,-0.83333,3.76667,1.9
23,12:47:27.94,-2.65171,-5.82407,2.45589,-0.66667,3.66667,2.16667
24,12:47:27.96,-2.65171,-5.82407,2.45589,-0.66667,3.66667,2.16667
25,12:47:28.01,-2.63876,-5.09891,-0.29982,-0.8,3.36667,3.0
26,12:47:28.04,-3.15788,-4.41417,-0.70514,-0.66667,3.23333,3.06667
27,12:47:28.07,-3.41551,-4.64317,-1.02017,-0.63333,2.66667,2.96667
28,12:47:28.10,-2.96767,-4.77072,-0.80168,-0.43333,2.5,2.93333
29,12:47:28.13,-2.96767,-4.77072,-0.80168,-0.43333,2.5,2.93333
30,12:47:28.16,-3.02915,-4.23086,-0.70009,-0.2,2.16667,2.5
31,12:47:28.20,-3.11172,-4.23135,-0.82026,0.13333,2.33333,2.16667
32,12:47:28.22,-3.29536,-3.34871,-0.71318,0.2,2.0,1.9
33,12:47:28.25,-2.4227,-2.94417,-0.44202,0.16667,1.26667,1.5
34,12:47:28.28,-1.09194,-2.62788,-0.3023,-0.03333,0.86667,0.96667
35,12:47:28.31,-0.81364,-2.74515,-0.29716,-0.06667,0.6,0.8
36,12:47:28.34,-0.81364,-2.74515,-0.29716,-0.06667,0.6,0.8
37,12:47:28.38,0.645,-2.15367,-0.11012,0.0,0.43333,0.4
38,12:47:28.43,1.33511,-1.67267,-0.05193,-0.1,0.13333,0.13333
39,12:47:28.45,1.61911,-1.84967,-0.0469,-0.1,-0.03333,0.03333
40,12:47:28.48,2.39291,-1.83967,-0.00938,0.06667,0.06667,-0.0
41,12:47:28.51,2.39291,-1.83967,-0.00938,0.06667,0.06667,-0.0
42,12:47:28.54,2.16791,-1.67267,-0.01083,0.1,0.06667,-0.03333
43,12:47:28.57,2.19811,-1.80415,-0.01454,0.0,-0.1,-0.1
44,12:47:28.61,1.61158,-1.70515,-0.04212,0.06667,-0.03333,-0.16667
45,12:47:28.63,1.66435,-1.89215,-0.04553,0.0,-0.23333,-0.2
