,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,11:22:08.88,-8.82298,5.78163,0.22844,0.0,0.03333,-0.0,1
1,11:22:08.94,-8.86198,5.73263,0.23716,0.0,0.0,-0.0,1
2,11:22:09.00,-9.03322,6.05394,0.35738,0.03333,0.0,0.03333,1
3,11:22:09.06,-9.25856,6.12317,0.22659,0.0,0.0,-0.0,1
4,11:22:09.13,-9.01496,6.21117,0.3657,0.0,0.0,-0.0,1
5,11:22:09.19,-8.1466,5.98494,1.03522,0.0,0.23333,-0.0,1
6,11:22:09.26,-7.70535,5.56017,1.08525,-0.03333,1.1,0.06667,1
7,11:22:09.32,-6.74838,4.50752,1.34729,-0.16667,1.43333,0.2,1
8,11:22:09.38,-5.34067,3.40882,1.73859,-0.46667,1.66667,0.36667,1
9,11:22:09.45,-4.39288,1.23231,1.11534,-0.56667,2.3,0.6,1
10,11:22:09.51,-3.62788,1.10764,0.85718,-0.56667,2.3,0.86667,1
11,11:22:09.57,-3.00042,-0.47225,0.11209,-0.96667,2.33333,1.06667,1
12,11:22:09.64,-2.41935,-0.84959,0.09728,-0.86667,2.16667,1.13333,1
13,11:22:09.70,-2.31257,-0.89465,-0.12657,-0.63333,2.1,1.2,1
14,11:22:09.76,-2.19267,-0.92668,-0.07009,-0.6,2.0,1.2,1
15,11:22:09.83,-2.64856,-0.98663,-0.17213,-0.46667,1.83333,1.3,1
16,11:22:09.89,-2.70822,-0.9254,-0.10267,-0.36667,1.8,1.03333,1
17,11:22:09.95,-2.74163,-1.13225,-0.03907,-0.26667,1.4,1.0,1
18,11:22:10.01,-2.91935,-1.2508,-0.52844,-0.26667,1.06667,0.9,1
19,11:22:10.08,-2.98238,-0.95546,-1.3214,-0.2,0.6,0.7,1
20,11:22:10.14,-4.33886,-1.25636,-1.86464,0.0,-0.16667,0.13333,1
21,11:22:10.20,-4.18398,-1.40336,-1.25446,0.13333,-0.46667,-0.1,1
