,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,11:40:46.16,-6.6714,0.901,0.44593,0.0,0.0,-0.0
1,11:40:46.22,-6.63875,1.009,0.28646,0.0,0.0,-0.0
2,11:40:46.28,-5.70168,0.65179,0.26703,0.0,-0.03333,-0.0
3,11:40:46.35,-4.67965,0.52964,0.04705,0.0,0.0,-0.0
4,11:40:46.41,-4.08809,0.56864,0.20414,0.0,0.0,-0.0
5,11:40:46.48,-3.53682,0.46658,0.40083,0.0,0.0,0.03333
6,11:40:46.54,-3.56146,0.58358,0.28369,-0.03333,0.0,-0.0
7,11:40:46.60,-2.58925,0.25569,0.20856,0.0,-0.03333,-0.0
8,11:40:46.67,-1.96984,0.21669,0.20326,0.0,0.0,-0.0
9,11:40:46.73,-1.89762,0.095,0.13641,0.03333,0.0,-0.0
10,11:40:46.79,-1.58754,0.193,0.18564,0.03333,0.0,-0.0
11,11:40:46.86,-1.188,0.125,0.2837,0.0,0.0,-0.0
12,11:40:46.92,-0.88642,0.174,0.20277,0.03333,0.0,-0.0
13,11:40:46.99,-0.55321,0.154,0.17146,0.03333,0.0,-0.0
14,11:40:47.05,-0.49,0.213,0.12386,0.03333,0.0,-0.0
15,11:40:47.11,-0.382,0.203,0.16654,0.03333,0.0,-0.03333
16,11:40:47.18,-0.108,0.05258,0.27871,0.03333,0.0,-0.0
17,11:40:47.24,-0.461,-0.02642,0.31902,0.0,0.0,-0.0
18,11:40:47.31,-0.579,0.00358,-0.02039,0.0,0.0,-0.0
19,11:40:47.37,-0.14279,-0.08542,0.17246,0.03333,0.0,-0.0
20,11:40:47.43,-0.10379,0.00358,0.27683,0.0,0.0,-0.0
21,11:40:47.50,-0.17179,-0.04542,0.14846,0.0,0.0,-0.0
22,11:40:47.56,-0.07379,-0.11442,0.11937,0.0,0.0,-0.03333
23,11:40:47.63,-0.19179,-0.08542,0.08697,0.03333,0.0,-0.0
24,11:40:47.69,-0.34879,0.242,0.33151,0.03333,0.0,-0.03333
25,11:40:47.75,-0.21079,0.14058,0.33301,0.0,0.0,-0.03333
26,11:40:47.82,-0.10379,0.00358,0.23825,0.03333,0.0,-0.0
27,11:40:47.88,-0.03964,0.00358,0.16358,0.0,0.0,-0.0
28,11:40:47.94,-0.14764,-0.01642,0.19582,0.0,0.0,-0.0
29,11:40:48.01,-0.17764,-0.00642,0.07195,0.03333,0.0,-0.0
30,11:40:48.07,0.02836,-0.05542,0.32079,0.03333,0.0,-0.0
31,11:40:48.14,-0.13864,0.01258,0.29505,0.03333,0.0,-0.0
