,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
0,12:54:42.530000,3.382,-2.03458,0.20468,0.03333,0.06667,-0.0,46482.53
1,12:54:42.560000,3.304,-1.99458,0.17857,0.0,0.0,-0.0,46482.56
2,12:54:42.600000,3.51,-2.06358,0.39041,0.03333,0.0,-0.0,46482.6
3,12:54:42.620000,3.26979,-2.03458,0.41052,0.03333,0.03333,-0.0,46482.62
4,12:54:42.660000,2.87364,-1.99458,0.1776,0.0,0.06667,-0.0,46482.66
5,12:54:42.680000,2.67258,-1.72646,0.10349,0.0,0.0,-0.03333,46482.68
6,12:54:42.710000,3.09458,-1.94246,0.39291,0.0,0.0,-0.0,46482.71
7,12:54:42.750000,2.547,-1.72371,0.29655,0.03333,0.03333,-0.0,46482.75
8,12:54:42.770000,2.16746,-1.53438,0.39879,-0.03333,0.0,-0.03333,46482.77
9,12:54:42.800000,2.23546,-1.63338,0.38015,0.0,0.03333,-0.0,46482.8
10,12:54:42.840000,1.91871,-1.52538,0.35001,0.0,0.06667,-0.0,46482.84
11,12:54:42.870000,1.00438,-1.37551,0.75443,-0.03333,0.06667,-0.0,46482.87
12,12:54:42.900000,1.19851,-2.01771,1.31147,-0.5,0.7,-0.2,46482.9
13,12:54:42.940000,1.21539,-2.34758,0.90704,-0.3,1.6,-0.16667,46482.94
14,12:54:43,0.57,-1.989,1.11168,-0.8,1.4,-0.13333,46483.0
15,12:54:43.030000,0.89641,-2.64864,0.21216,-0.53333,2.2,-0.26667,46483.03
16,12:54:43.070000,0.70593,-2.53579,0.25671,-0.4,2.06667,-0.3,46483.07
17,12:54:43.090000,1.60258,-2.35879,0.88688,-0.96667,1.73333,-0.23333,46483.09
18,12:54:43.140000,1.84302,-3.011,0.49286,-0.86667,2.06667,-0.13333,46483.14
19,12:54:43.180000,1.63448,-2.216,0.19223,-0.4,2.36667,-0.13333,46483.18
20,12:54:43.210000,1.85422,-2.099,0.38322,-0.96667,2.23333,-0.0,46483.21
21,12:54:43.230000,1.56819,-2.148,0.24248,-1.1,2.4,0.1,46483.23
22,12:54:43.260000,1.07383,-1.65221,-0.33167,-0.96667,2.43333,-0.0,46483.26
23,12:54:43.290000,0.96628,-1.52936,-0.27988,-0.9,2.4,-0.0,46483.29
24,12:54:43.320000,0.7153,-1.67042,-0.35255,-1.1,2.0,0.03333,46483.32
25,12:54:43.360000,1.0152,-1.74331,-0.19478,-1.06667,1.96667,0.03333,46483.36
26,12:54:43.390000,0.87264,-1.70242,-0.09977,-0.63333,1.4,-0.06667,46483.39
27,12:54:43.420000,0.87264,-1.70242,-0.09977,-0.63333,1.4,-0.06667,46483.42
28,12:54:43.450000,0.97098,-1.80042,-0.00054,-0.76667,1.26667,0.03333,46483.45
29,12:54:43.480000,0.58528,-1.66654,-0.06597,-0.73333,1.26667,-0.0,46483.48
30,12:54:43.510000,0.49783,-1.69554,-0.04966,-0.63333,1.2,-0.03333,46483.51
31,12:54:43.540000,0.44185,-1.73829,-0.02845,-0.56667,0.83333,-0.0,46483.54
32,12:54:43.570000,0.36258,-1.95662,-0.02264,-0.73333,0.76667,0.03333,46483.57
33,12:54:43.610000,0.03762,-1.85862,-0.02829,-0.6,0.83333,-0.0,46483.61
34,12:54:43.630000,-0.07386,-1.83862,-0.00119,-0.53333,0.46667,-0.1,46483.63
35,12:54:43.660000,0.72865,-2.26062,0.01393,-0.6,0.36667,-0.0,46483.66
36,12:54:43.690000,-0.44473,-1.76962,-0.18147,-0.26667,0.93333,-0.03333,46483.69
