,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
0,RobustScaler,2,10,k-means++,euclidean,0.41931127447734934,0.9226895484413388,104.57121017793239,2.07204188585778,1.0,1.0,1.0,1.0,1.0
2,RobustScaler,2,10,random,euclidean,0.41931127447734934,0.9226895484413388,104.57121017793239,2.07204188585778,1.0,1.0,1.0,1.0,1.0
4,RobustScaler,2,20,k-means++,euclidean,0.41931127447734934,0.9226895484413388,104.57121017793239,2.07204188585778,1.0,1.0,1.0,1.0,1.0
6,RobustScaler,2,20,random,euclidean,0.41931127447734934,0.9226895484413388,104.57121017793239,2.07204188585778,1.0,1.0,1.0,1.0,1.0
5,RobustScaler,2,20,k-means++,manhattan,0.3811882872657975,0.9226895484413388,104.57121017793239,1.7247505959065201,0.8040135353586951,0.6999830551991955,1.0,1.0,0.8759991476394726
1,RobustScaler,2,10,k-means++,manhattan,0.3811882872657975,0.9226895484413388,104.57121017793239,1.7247505959065201,0.8040135353586951,0.6999830551991955,1.0,1.0,0.8759991476394726
3,RobustScaler,2,10,random,manhattan,0.37213301033404206,0.9837442423826442,104.24059349685515,1.7018229923338317,0.7574612622549508,0.6801764266585045,0.9099767374046756,0.9925248241316161,0.8350348126124367
7,RobustScaler,2,20,random,manhattan,0.37213301033404206,0.9837442423826442,104.24059349685515,1.7018229923338317,0.7574612622549508,0.6801764266585045,0.9099767374046756,0.9925248241316161,0.8350348126124367
12,RobustScaler,3,20,k-means++,euclidean,0.36291558086739734,1.1057041633343097,98.91701182223886,1.5856392116877271,0.7100753791859321,0.5798079350970171,0.7301505965924457,0.872159725982904,0.7230484092145747
22,RobustScaler,4,20,random,euclidean,0.3533631565875013,1.0253546087758951,94.37175437300797,1.5871866983922736,0.6609673212842339,0.5811447732114513,0.8486235358947575,0.7693923801569806,0.7150320026368557
24,RobustScaler,5,10,k-means++,euclidean,0.36247867245671295,1.0246139176665414,91.32895073973162,1.5272801101268891,0.7078292767410498,0.5293928516837253,0.8497156620841619,0.7005952093137319,0.6968832499556673
28,RobustScaler,5,20,k-means++,euclidean,0.36247867245671295,1.0246139176665414,91.32895073973162,1.5272801101268891,0.7078292767410498,0.5293928516837253,0.8497156620841619,0.7005952093137319,0.6968832499556673
8,RobustScaler,3,10,k-means++,euclidean,0.36333104619308104,1.1369730030916485,98.92033360601613,1.4825730039847023,0.7122112448753114,0.4907714126100687,0.6840456570568854,0.8722348308380218,0.6898157863450718
30,RobustScaler,5,20,random,euclidean,0.3529604754015293,1.0072961307840516,91.34018842102364,1.4745178426695178,0.6588971775785931,0.48381274431752835,0.8752502045648922,0.7008492910005268,0.6797023543653851
18,RobustScaler,4,10,random,euclidean,0.34385120331305175,1.0519536053846141,94.38598673582408,1.5089135155463809,0.6120673207741016,0.5135263737389072,0.8094041360107647,0.7697141709835245,0.6761780003768245
20,RobustScaler,4,20,k-means++,euclidean,0.34385120331305175,1.0519536053846141,94.38598673582408,1.5089135155463809,0.6120673207741016,0.5135263737389072,0.8094041360107647,0.7697141709835245,0.6761780003768245
26,RobustScaler,5,10,random,euclidean,0.3565169308203449,1.0338575665751015,91.43014225952811,1.4607994484608051,0.6771805592118372,0.47196173959279525,0.8360861869477495,0.7028831289807105,0.6720279036832731
10,RobustScaler,3,10,random,euclidean,0.36047719614186774,1.1638132393318295,98.92803259681551,1.4398352351913841,0.6975398871705767,0.4538512387042562,0.6444705567788757,0.8724089034530118,0.66706764652668
14,RobustScaler,3,20,random,euclidean,0.3544331550374674,1.1847119244001003,98.91606045335672,1.3964341790801693,0.6664680763068359,0.4163580661647365,0.6136560903988366,0.8721382157261119,0.6421551121491302
9,RobustScaler,3,10,k-means++,manhattan,0.35124070195684864,1.1310641180443894,98.9466048090822,1.3225896253107687,0.6500559942910246,0.35256545732855304,0.6927581257618528,0.8728288173923392,0.6420520986934425
15,RobustScaler,3,20,random,manhattan,0.3565147028306564,1.1638132393318295,98.92803259681551,1.2808885689182725,0.6771691053396658,0.3165408753829516,0.6444705567788757,0.8724089034530118,0.6276473602386262
13,RobustScaler,3,20,k-means++,manhattan,0.3513389022726445,1.1847119244001003,98.91606045335672,1.2723770037420843,0.6505608322936893,0.3091879303091167,0.6136560903988366,0.8721382157261119,0.6113857671819387
11,RobustScaler,3,10,random,manhattan,0.34790754608018387,1.2065044608319788,98.88031501435344,1.2594200795419332,0.6329205732721813,0.29799474198271064,0.5815236677596998,0.8713300186255558,0.5959422504100369
17,RobustScaler,4,10,k-means++,manhattan,0.3073466595857409,1.0253546087758951,94.37175437300797,1.2460904869638678,0.4244011122275772,0.2864796140298273,0.8486235358947575,0.7693923801569806,0.5822241605772857
29,RobustScaler,5,20,k-means++,manhattan,0.31557933676058,1.0246139176665414,91.32895073973161,1.2510970481395922,0.46672448224777746,0.29080466689282874,0.8497156620841619,0.7005952093137315,0.5769600051346249
72,MinMaxScaler,3,10,k-means++,euclidean,0.2983260698533706,1.1012789963050411,87.68523335612988,1.567846619370501,0.37802716254686575,0.5644373244840943,0.736675368854624,0.6182115008802544,0.5743378391914596
19,RobustScaler,4,10,random,manhattan,0.3100519900638622,1.0413650112660462,94.22323043016405,1.200358717216661,0.4383089456602285,0.24697299167308345,0.8250166913659274,0.766034284038519,0.5690832281844396
74,MinMaxScaler,3,10,random,euclidean,0.29598901031057134,1.1091756575142941,87.68829361010876,1.5557775296564678,0.3660125731625726,0.5540111159171037,0.7250319855244202,0.61828069259986,0.5658340918009891
76,MinMaxScaler,3,20,k-means++,euclidean,0.29598901031057134,1.1091756575142944,87.68829361010876,1.5557775296564678,0.3660125731625726,0.5540111159171037,0.7250319855244198,0.61828069259986,0.565834091800989
78,MinMaxScaler,3,20,random,euclidean,0.29598901031057134,1.1091756575142944,87.68829361010876,1.5557775296564678,0.3660125731625726,0.5540111159171037,0.7250319855244198,0.61828069259986,0.565834091800989
23,RobustScaler,4,20,random,manhattan,0.29892473455503216,1.0759637584434212,94.28609427555746,1.3039090297851228,0.3811048379066978,0.3364277212009052,0.7740019060717391,0.7674556227881173,0.5647475219918648
25,RobustScaler,5,10,k-means++,manhattan,0.31603792514943546,1.0322436544509228,91.34555650494428,1.2004583482290765,0.4690820392922607,0.2470590606094985,0.8384658505834462,0.7009706622854006,0.5638944031926515
