,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
0,RobustScaler,2,10,k-means++,euclidean,0.3989160954311843,1.1111779677954838,1764.6219528754682,1.6527781673797095,0.9065085503049646,1.0,0.9542415028704667,0.852978443123583,0.9284321240747536
2,RobustScaler,2,10,random,euclidean,0.3989160954311843,1.1111779677954838,1764.6219528754682,1.6527781673797093,0.9065085503049646,0.9999999999999997,0.9542415028704667,0.852978443123583,0.9284321240747535
4,RobustScaler,2,20,k-means++,euclidean,0.3989160954311843,1.1111779677954838,1764.6219528754682,1.6527781673797093,0.9065085503049646,0.9999999999999997,0.9542415028704667,0.852978443123583,0.9284321240747535
6,RobustScaler,2,20,random,euclidean,0.3989160954311843,1.1111779677954838,1764.6219528754682,1.6527781673797093,0.9065085503049646,0.9999999999999997,0.9542415028704667,0.852978443123583,0.9284321240747535
12,RobustScaler,3,20,k-means++,euclidean,0.40256665726914814,1.0837388998579673,1907.3440199523327,1.4689105503294453,0.925619636419974,0.7105109621517687,1.0,1.0,0.9090326496429357
10,RobustScaler,3,10,random,euclidean,0.4024689376971018,1.0840350999605528,1907.3416635908432,1.4680007715483416,0.9251080638896642,0.7090785675397016,0.9995060447543339,0.9999975726533264,0.9084225622092565
8,RobustScaler,3,10,k-means++,euclidean,0.40224973701662986,1.0849170999100595,1907.3300082003536,1.4652854470203107,0.9239605246157357,0.7048034445045752,0.9980351860411424,0.9999855661452169,0.9066961803266675
14,RobustScaler,3,20,random,euclidean,0.40224973701662986,1.0849170999100595,1907.3300082003536,1.4643849647194922,0.9239605246157357,0.7033856866685553,0.9980351860411424,0.9999855661452169,0.9063417408676626
1,RobustScaler,2,10,k-means++,manhattan,0.41274687980647257,1.1111779677954838,1764.6219528754682,1.4549642360113646,0.9789142026309883,0.6885532885916306,0.9542415028704667,0.852978443123583,0.8686718593041671
3,RobustScaler,2,10,random,manhattan,0.41274687980647257,1.1111779677954838,1764.6219528754682,1.4536288599057283,0.9789142026309883,0.6864508153547012,0.9542415028704667,0.852978443123583,0.8681462409949348
5,RobustScaler,2,20,k-means++,manhattan,0.41274687980647257,1.1111779677954838,1764.6219528754682,1.4536288599057283,0.9789142026309883,0.6864508153547012,0.9542415028704667,0.852978443123583,0.8681462409949348
7,RobustScaler,2,20,random,manhattan,0.41274687980647257,1.1111779677954838,1764.6219528754682,1.4536288599057283,0.9789142026309883,0.6864508153547012,0.9542415028704667,0.852978443123583,0.8681462409949348
13,RobustScaler,3,20,k-means++,manhattan,0.41677464707909756,1.0849170999100595,1907.3300082003536,1.256688646651027,1.0,0.3763797231017163,0.9980351860411424,0.9999855661452169,0.8436001188220189
